fecha,ipc
2007-12,100.00
2025-01,40521840708458.30
2025-02,44948592993158.40
2025-03,48695941027700.90
2025-04,56686369544411.30
2025-05,68691300824090.40
2025-06,75780386243945.10
2025-07,86578516564082.40
2025-08,100503985890336.00
2025-09,122169616603139.00
2025-10,153849788402697.00
2025-11,187021825372618.00
2025-12,212393273459827.00
2026-01,281565112063483.00
2026-02,322703709401564.00
2026-03,364960489482614.00
2026-04,403528566746262.00
2026-05,428967191622142.00
2026-06,488122054630450.00
